# id,snap_id,uid,x,y,z,x_pixel,y_pixel,i_sector,M500_msolh,r500_kpch,gas_frac,star_frac,T_kev,Lx_ergs,Y500c,M_sat_M_cD,cshift,vx,vy,vz 
871768,27,797,13564.656,224559.61,88772.117,631,5931,4,5.69053e+13,492.956,0.0610537,0.0443357,1.73877,0.104055,3.7031816,0.0224098,0.022688,-434.577,-172.072,-99.4729 
871591,27,620,144891.78,190765.77,147217.47,6744,7504,5,5.69422e+13,493.051,0.0745029,0.0330863,1.52386,0.128019,3.9614404,0.217222,0.0478862,280.361,263.261,-152.544 
871677,27,706,158877.56,200390.22,99442.188,7395,7056,5,5.72108e+13,493.83,0.0583084,0.0360453,1.63909,0.0849683,3.3399538,0.0827737,0.0236923,30.8885,-48.4411,186.638 
871422,27,451,140030.67,158072.84,85516.461,6517,9026,9,5.7212e+13,493.835,0.0766789,0.0305066,1.76931,0.149586,4.7411894,0.466357,0.0680814,332.593,-132.278,209.754 
871604,27,633,86504.555,170433.36,33954.797,4026,8451,8,5.73032e+13,494.087,0.069125,0.0329873,1.66751,0.116359,4.0305113,0.0694953,0.0448021,-94.85,69.9733,305.2 
871621,27,650,20022.572,150186.2,61006.578,931,9393,8,5.74096e+13,494.389,0.0674703,0.0333013,1.78777,0.111435,4.2204254,0.148308,0.0408397,12.3348,347.368,-158.622 
871603,27,632,250794.44,156357.02,83234.617,11673,9106,10,5.7526e+13,494.741,0.0765629,0.0369775,1.54823,0.149419,4.1499913,0.106428,0.0244718,100.404,237.484,183.719 
871754,27,783,287695.53,119109.55,106661.32,13390,10839,11,5.75646e+13,494.84,0.0728707,0.0303185,1.52996,0.122477,3.9043093,0.0830746,0.0435625,268.147,593.75,235.752 
871633,27,662,112726.05,185445.33,124367.77,5246,7752,5,5.77146e+13,495.267,0.0758085,0.032155,1.44938,0.165665,3.8511719,0.205861,0.0214075,-217.662,386.977,72.9338 
871830,27,859,261740.88,189917.36,51874.117,12182,7544,6,5.77935e+13,495.497,0.0785676,0.0307062,1.60739,0.16759,4.4283781,0.122778,0.049343,108.244,124.832,-123.006 
871851,27,880,56273.191,328257.22,201689.47,2619,1105,0,5.78567e+13,495.674,0.0689682,0.0349084,1.61493,0.12219,3.9070426,0.0808666,0.0461507,-269.361,-3.23172,-56.3812 
871685,27,714,131790.38,246543.73,57459.746,6134,4908,5,5.80994e+13,496.363,0.0635078,0.0318541,1.67487,0.10257,3.7365165,0.0719161,0.0278954,-85.7359,-225.301,214.277 
871499,27,528,139641.3,148382.94,87276.875,6499,9477,9,5.81581e+13,496.532,0.0794159,0.0281605,1.53529,0.140534,4.2844707,0.16683,0.0327908,58.6272,144.075,287.517 
872123,27,1152,58259.348,280274.41,138237.83,2711,3338,0,5.81813e+13,496.598,0.0863337,0.0264396,1.38228,0.217171,4.1940663,0.49035,0.131736,-24.366,-489.486,-90.4181 
871406,27,435,345984.34,236206.42,55945.145,16103,5389,7,5.81959e+13,496.652,0.0866362,0.0263828,1.90176,0.226504,5.7906664,0.835987,0.145734,-157.803,166.145,159.814 
871862,27,891,115056.09,334715.44,303862.09,5355,804,1,5.8226e+13,496.742,0.0538109,0.0363278,1.71342,0.0836953,3.2409709,0.0544287,0.0412621,194.578,133.388,-395.512 
871767,27,796,270012.47,267590.69,203083.59,12567,3928,3,5.82956e+13,496.934,0.0821,0.0308248,1.55457,0.173458,4.4882408,0.32274,0.106246,-344.381,-58.5082,-17.3954 
871715,27,744,120464.12,228982.28,22049.68,5607,5725,5,5.84306e+13,497.311,0.0749868,0.0327665,1.60086,0.14696,4.2248087,0.088937,0.0345746,247.536,88.5574,62.0567 
871404,27,433,308921.28,231704.44,159292.38,14378,5599,7,5.84683e+13,497.415,0.0870052,0.0342946,1.56716,0.214233,4.7998163,0.0908804,0.0518968,269.091,-100.675,351.31 
871597,27,626,198323.62,210269.2,199352.95,9231,6596,6,5.87989e+13,498.354,0.0935549,0.0273424,1.41036,0.240294,4.6534428,0.19563,0.0381699,511.487,200.713,66.9089 
871795,27,824,171283.34,192532.23,330807.66,7972,7422,5,5.88024e+13,498.368,0.0734208,0.0318953,1.50317,0.125488,3.8922964,0.101411,0.0411459,1130.8,405.781,-101.745 
871662,27,691,237264.86,323373.22,244918.22,11043,1332,2,5.88484e+13,498.501,0.0619029,0.0346912,1.51568,0.0920546,3.309822,0.217197,0.0411761,39.6533,-422.661,206.85 
871631,27,660,228287.5,103948.73,103260.44,10625,11545,10,5.88521e+13,498.499,0.0905102,0.0315439,1.4006,0.185427,4.4722719,0.130356,0.0565091,195.865,241.991,268.85 
872025,27,1054,283667.31,95875.305,39365.293,13203,11921,11,5.88641e+13,498.54,0.0939904,0.0267901,1.28457,0.274204,4.2596728,0.422545,0.110555,25.2726,-205.552,78.5468 
871746,27,775,24814.844,274135.94,90255.945,1155,3624,0,5.8947e+13,498.765,0.0758632,0.0326993,1.62011,0.14892,4.3384024,0.09702,0.0313596,-541.338,265.107,57.623 
871926,27,955,236054.31,37945.211,170106.28,10987,14617,14,5.89763e+13,498.851,0.0732715,0.0292336,1.39979,0.129519,3.6209226,0.131862,0.0395124,-89.7189,-390.892,-251.742 
871672,27,701,173905.69,272133.62,223230.75,8094,3717,1,5.90044e+13,498.942,0.0781385,0.0272952,1.47557,0.165759,4.0709355,0.130177,0.063759,1097.68,127.827,192.056 
871543,27,572,187933.72,326141.38,306215.81,8747,1203,2,5.90213e+13,498.98,0.0950908,0.0296433,1.59683,0.224603,5.3619541,0.236974,0.125117,418.913,92.5167,-202.019 
871540,27,569,239910.56,88755.477,195173.62,11166,12252,10,5.9196e+13,499.47,0.0713532,0.0329916,1.65864,0.157059,4.1833589,0.183349,0.0375723,66.839,194.149,-194.018 
871385,27,414,253471.77,261307.75,287663.56,11797,4221,6,5.92213e+13,499.541,0.0764985,0.0272864,1.61592,0.137542,4.3701293,0.279559,0.0712392,-51.9111,111.23,45.1915 
871811,27,840,275061.41,333077.56,101498.98,12802,880,3,5.92551e+13,499.647,0.0869672,0.0251517,1.35502,0.209248,4.166619,0.31593,0.0360776,-772.33,-438.073,-170.208 
871443,27,472,263041.28,319606.62,105324.92,12243,1507,2,5.9299e+13,499.751,0.0738641,0.0361009,1.64429,0.191143,4.2957211,0.0874319,0.0272684,-245.494,-110.316,-116.296 
871593,27,622,347189.56,40532.891,257130.34,16160,14497,15,5.93147e+13,499.798,0.0736973,0.029663,1.52241,0.135574,3.9686281,0.128871,0.0401337,221.104,-135.137,216.175 
871747,27,776,38682.453,329441.62,90611.141,1800,1049,0,5.93949e+13,500.025,0.0833536,0.0276139,1.45262,0.20784,4.2847627,0.628243,0.0828827,-286.607,-277.537,-433.949 
871682,27,711,12237.754,222911.56,248741.31,569,6008,4,5.94013e+13,500.035,0.0914543,0.0362318,1.65216,0.501336,5.3473235,0.403368,0.0264355,-61.5572,-192.635,-480.967 
871761,27,790,232836.8,2481.5242,46954.648,10837,16268,14,5.94454e+13,500.172,0.0827509,0.0282884,1.26808,0.14821,3.7143714,0.162436,0.0189649,411.975,-540.735,381.944 
871325,27,354,313241.72,224080.11,111751.58,14579,5954,7,5.9466e+13,500.236,0.0892194,0.0266252,1.41604,0.203432,4.4723785,0.343227,0.0358829,-21.1106,-280.543,-128.033 
871581,27,610,306867.75,11726.558,123784.48,14283,15838,15,5.95485e+13,500.453,0.0795773,0.0335899,1.44023,0.150402,4.0592962,0.0706646,0.0394652,-148.925,-83.4529,-2.10626 
