epoch,accuracy,loss,val_accuracy,val_loss
0,0.8888888955116272,0.6796038746833801,1.0,0.6538316607475281
1,1.0,0.6085540056228638,1.0,0.5148672461509705
2,1.0,0.3678930997848511,1.0,0.13927963376045227
3,1.0,0.041088834404945374,1.0,0.0009070864180102944
4,1.0,0.0001880265335785225,1.0,2.4408582248724997e-06
5,1.0,9.79077299234632e-07,1.0,6.086257542392559e-08
6,1.0,5.367432720504439e-08,1.0,9.919782328893234e-09
7,1.0,1.1362779162027437e-08,1.0,4.4299559576188585e-09
8,1.0,1.3448582691921729e-08,1.0,3.146596538883273e-09
9,1.0,4.9317434580586905e-09,1.0,2.7300599558799377e-09
