epoch,accuracy,loss,val_accuracy,val_loss
0,0.4166666567325592,0.7006198167800903,0.5,0.6932862997055054
1,0.3888888955116272,0.6958587169647217,0.5,0.6931485533714294
2,0.4166666567325592,0.6952307820320129,0.5,0.6931535005569458
3,0.3055555522441864,0.6949997544288635,0.5,0.6932337880134583
4,0.5,0.6944770812988281,0.5,0.693196177482605
5,0.4444444477558136,0.6939248442649841,0.5,0.693146824836731
6,0.3611111044883728,0.6950088143348694,0.5,0.6931478381156921
7,0.5,0.6937344074249268,0.5,0.693153440952301
8,0.4166666567325592,0.6936231851577759,0.5,0.6931544542312622
9,0.4166666567325592,0.6943022012710571,0.5,0.6931475400924683
