epoch,accuracy,loss,val_accuracy,val_loss
0,0.8888888955116272,0.6672929525375366,1.0,0.6106652617454529
1,1.0,0.48843416571617126,1.0,0.26382535696029663
2,1.0,0.09679204225540161,1.0,0.0013055073795840144
3,1.0,0.000250991084612906,1.0,3.2322671472684306e-07
4,1.0,1.071545554509612e-07,1.0,1.0299312513950554e-09
5,1.0,9.489674601681486e-10,1.0,5.268223704502084e-11
6,1.0,1.0353613105751336e-10,1.0,1.3564459451498312e-11
7,1.0,5.46669202960981e-11,1.0,7.55910785354974e-12
8,1.0,8.175010668409755e-11,1.0,5.916376329823114e-12
9,1.0,1.613062808325516e-11,1.0,5.347155444118679e-12
