epoch,accuracy,loss,val_accuracy,val_loss
0,0.9444444179534912,0.6655142307281494,1.0,0.6080455780029297
1,1.0,0.4961671233177185,1.0,0.2905707359313965
2,1.0,0.1111898273229599,1.0,0.0036737669724971056
3,1.0,0.0005886771250516176,1.0,1.3772153124591568e-06
4,1.0,4.800149895345385e-07,1.0,4.173345224955938e-09
5,1.0,6.531915008878286e-09,1.0,1.9329456091288222e-10
6,1.0,9.158833691458312e-10,1.0,4.689874183450016e-11
7,1.0,9.180050469792533e-11,1.0,2.5408225870493517e-11
8,1.0,2.187600239844656e-10,1.0,1.964358363470975e-11
9,1.0,6.642499050801831e-11,1.0,1.7662361156967066e-11
