epoch,accuracy,loss,val_accuracy,val_loss
0,1.0,0.04730435088276863,1.0,6.651270788478325e-13
1,1.0,8.888501046300235e-12,1.0,6.651270788478325e-13
2,1.0,8.47807067605455e-12,1.0,6.651270788478325e-13
3,1.0,8.576189237941012e-12,1.0,6.651270788478325e-13
4,1.0,1.1198621023555955e-11,1.0,6.651270788478325e-13
5,1.0,1.0976919026517429e-11,1.0,6.651270788478325e-13
6,1.0,1.4784493074238014e-11,1.0,6.651270788478325e-13
7,1.0,1.0678156275867323e-11,1.0,6.651270788478325e-13
8,1.0,3.6651886387017996e-11,1.0,6.651270788478325e-13
9,1.0,7.752088033996518e-12,1.0,6.651270788478325e-13
